标题,价格,销量,店铺,地点,,,
可减120/当天发/Huawei/华为 畅享9e 全网通官网官方旗舰店正品手机9P/nova4/3/p30pro荣耀8x新款mate20免息,￥999.00,265人付款,三际数码官方旗舰店,山东 济南,,,
6+128G低至1459起选手环蓝牙耳机当天发Xiaomi/小米8青春版手机正品官方旗舰店 小米9官网8se红米note7K20Pro,"￥1,089.00",106人付款,三际数码官方旗舰店,山东 济南,,,
【新品上市 收藏加购】华为honor/荣耀荣耀20 PRO手机正品官方旗舰店全焦段四摄麒麟980芯片智能游戏,"￥999,999.00",0人付款,中国移动官方旗舰店,浙江 杭州,,,
最高省150vivo U1手机现货中移动vivou1全网通水滴屏智能学生机老人机正品千元机官方旗舰店vivou1 y75 y93 u,￥749.00,52人付款,中国移动官方旗舰店,浙江 杭州,,,
可减100【当天发/送好礼】Huawei/华为畅享9S全网通手机官方旗舰店正品畅想9s/nova4降价p30/9plus荣耀8x新品,"￥1,199.00",36人付款,京联通达数码旗舰店,北京,,,
官方正品DOOV/朵唯D1水滴全面屏智能手机全网通4G老人老年机超薄旗舰新全屏学生千元下微信八开指纹安卓大屏,￥599.00,167人付款,万诚春数码专营店,广东 深圳,,,
飞利浦（PHILIPS） E289 移动联通电信4G全网通 微信功能 超长待机 直板按键 学生备用智能老年手机,￥399.00,90人付款,飞利浦官方旗舰店,上海,,,
免息降价650元当天发豪礼华为HUAWEI nova 4e全面屏3i手机nova4e,"￥1,374.12",246人付款,深港通信专卖,广东 深圳,,,
【6期免息】OPPO Reno opporeno手机正品oppo全新reno r17pro r19 r15x r11 a7 0pp0reno10倍变焦版oppo十,"￥2,999.00",44人付款,时器数码专营店,广东 广州,,,
Apple/苹果 iPhone 7 Plus苹果7代5.5寸国行7P港版原装全新4G手机,"￥2,699.00",98人付款,jiali通讯,上海,,,
天语A1超薄迷你卡片手机移动联通小学生手机女生男生非智能戒网手机超长待机可爱儿童直板网红特小手机正品,￥135.00,1401人付款,天语强宇专卖店,广西 桂林,,,
【至高优惠400元】 OPPO A5手机全面屏 oppoa5全新手机oppo限量超薄 oppor17 a5 oppor11s r15 a7 a5 oppok1,￥799.00,88人付款,聚宝康数码专营店,广东 深圳,,,
现货速发【12期分期】诺基亚 X71 官方正品旗舰店全面屏蔡司认证超大广角三摄手机4G全网通x7/x6,"￥2,199.00",25人付款,京合旗舰店,安徽 合肥,,,
【搭配购买更划算】Samsung/三星 GALAXY Note9 SM-N9600 官方正品 Spen遥控拍摄 4G智能手机,"￥6,048.00",19人付款,三星官方旗舰店,北京,,,
现货速发+顺丰包邮 honor/荣耀 畅玩7X 全面屏智能手机 双卡双待全网通4G 官方旗舰店正品畅玩7c/畅享9s/9e,￥979.00,82人付款,爱谷歌数码专营店,广东 深圳,,,
当天发+碎屏保 华为honor/荣耀 荣耀10青春版 手机 荣耀paly 20i,"￥1,178.00",319人付款,wezebaba,广东 深圳,,,
【现货速发/3期免息】Samsung/三星 Galaxy A8s SM-G8870 官方正品 4G全网通手机 黑瞳全视屏 后置三摄,"￥2,199.00",16人付款,samsung佳酷专卖店,上海,,,
顺丰速发+送碎屏险 honor/荣耀 荣耀10手机官方正品 GT游戏手机全网通4G全面屏手机官方旗舰店正品荣耀V10/8x,"￥1,799.00",18人付款,爱谷歌数码专营店,广东 深圳,,,
新品上市 vivo NEX双屏版全新手机 vivonex双屏版 高配版 nex双面屏 旗舰版 vivonex2非凡双屏 官方旗舰店,"￥4,998.00",13人付款,首佳誉数码专营店,广东 东莞,,,
咨询减【顺丰包邮】红米6A Xiaomi/小米 红米6a手机现货5a官方旗舰小米6plus正品6pro官网全新学生老人,￥519.00,187人付款,君问数码官方旗舰店,浙江 杭州,,,
【12期0首付 送无线充 】同城1小时闪送 Apple/苹果 iPhone 8 4G全网通手机7 iPhone xr XS Max 手机,"￥3,899.00",76人付款,大唐回浦数码旗舰店,浙江 台州,,,
纽曼 W560儿童手机 小学生直板可爱男女款迷你按键移动电信版正品非智能手表老人机棒棒机备用老年机卡片手机,￥78.00,6500+人付款,深圳易乐购数码专营店,广东 深圳,,,
【北京市最快2小时达】OPPO Reno oppo全新reno系列 opporeno手机正品find x r17pro r19 r15x r11s k1 0pp0,"￥2,999.00",32人付款,远宏科华数码专营店,北京,,,
【现货速发/分期免息】Nokia/诺基亚 X6全面屏全网通x6智能手机官方旗舰店正品学生价骁龙双摄全新款x7x6,￥949.00,105人付款,博海宇通数码专营店,北京,,,
Apple/苹果 iPhone 7 苹果7plus国行全新7代全网通4G正品手机7P,"￥1,899.00",24人付款,销量第一8,广东 广州,,,
官方旗舰 Changhong/长虹 Ga568老年手机超长待机大字大声老人手机正品大屏老年机直板移动老人机经典诺基亚,￥395.00,385人付款,宸欣数码专营店,广东 深圳,,,
【优惠1200元/当天发】三星 Galaxy S10 SM-G9730 骁龙855 四摄像官方店国行IP68防 4G智能旗舰手机 非港版,"￥5,999.00",7人付款,能良数码官方旗舰店,上海,,,
Philips/飞利浦 E280正品超长待机商务备用机男移动双卡双待直板按键老人手机语音大屏幕大字大声功能老年机,￥268.00,474人付款,优源数码专营店,广东 深圳,,,
【领券减钱低至6?4元起】红米6现货Xiaomi/小米 红米6 手机官方旗舰正品红米6a学生老人红米7新品,￥669.00,184人付款,广东电信亿品汇专卖店,广东 深圳,,,
【抢券至高省150】vivo Z1青春版极光色4+32GB全面屏智能双摄全网通4G全新正品手机vivoz1 z1i z,￥949.00,65人付款,vivo官方旗舰店,广东 东莞,,,
正品【直降498】Xiaomi/小米 小米Max3大屏全面屏手机 送品牌电源,"￥1,029.00",188人付款,69铺小a,广东 深圳,,,
可省500/6期免息/送31重礼Huawei/华为 nova 4e 官方旗舰店手机正品智能Mate20pro降价p30pro新款p20 nova4e,"￥1,799.00",32人付款,恒波官方旗舰店,广东 深圳,,,
OPPO R17 oppor17手机全网通正品 oppok1超薄新款r17PRO k1 r15,"￥1,880.01",112人付款,青松数码2009,湖北 武汉,,,
魅族note8【免息 直降460】Meizu/魅族 note8手机魅族16x8note9/6,￥848.00,503人付款,白开水的点燃方式,河南 郑州,,,
小辣椒G2老人机超长待机老年手机大屏大字电信女款移动老人手机大声按键手机全网通正品学生备用小手机,￥56.00,2670人付款,世光创展数码专营店,广东 深圳,,,
OBXIN/欧博信 OX2全网通全面屏刘海水滴面部解锁一体机8G运行手机,￥189.00,1218人付款,紫色角洛,广东 揭阳,,,
6期免息/当天发货/咨询优惠】华为honor/荣耀 荣耀10青春版官方旗舰店手机降价手机畅享20i荣耀8X降价,"￥1,299.00",54人付款,君问数码官方旗舰店,浙江 杭州,,,
现货Samsung/三星GALAXY S9+港版美版S9三网通4G曲屏防水智能手机,"￥2,158.00",252人付款,环慧数码,广东 深圳,,,
降价华为mate20手机官网正品Huawei/华为 Mate 20 ProX保时捷p30,"￥2,769.00",177人付款,春江哥,四川 成都,,,
直降750送充电宝 honor/荣耀 荣耀NOTE10手机大屏 华为荣耀note10,"￥1,566.00",145人付款,wezebaba,广东 深圳,,,
现货港行Samsung/三星 GALAXY S9+plus港版全网通4G曲屏智能手机,"￥2,106.72",361人付款,5小小咖啡馆,上海,,,
12期免息 vivo NEX双屏版 vivonex双屏手机 vivonex双屏版 高配版 旗舰版 vivox23 x21 nex双面屏vivo新nex2,"￥4,998.00",9人付款,vivo天诚专卖店,广东 东莞,,,
【直降300元】OPPO A5 oppoa5手机全面屏官方正品oppo新品 a5 a7x a3 a77 a79 a83 r9s r17 r11 oppo find x,￥799.00,190人付款,oppo蓝源专卖店,广东 深圳,,,
Apple/苹果 iPhone XR 苹果xr 6.1寸iphonexr双卡双待iphonex手机,"￥3,500.00",22人付款,牛点贸易有限公司,广东 深圳,,,
vivo X20全面屏全网通4G智能正品手机vivox20plus x20花呗免息X21,"￥1,000.00",249人付款,棉先生手工被,北京,,,
优思翻盖老年手机老人机女款男移动电信4G版大屏大字大声超长待机智能军工正品可爱按键学生备用功能机翻盖式,￥96.00,2215人付款,优机汇数码专营店,广东 深圳,,,
Philips飞利浦 E289全网通4G老人机超长待机电信老年手机移动联通电信三网通大屏大字大声男女款智能机大按键,￥388.00,182人付款,金蛇数码专营店,广东 深圳,,,
Huawei/华为 畅享 MAX 全网通版 全面屏 长续航学生机 老人游戏手机 畅享max#,"￥1,599.00",17人付款,中国电信官方旗舰店,北京,,,
当天发/咨询可省330/送12选5壕礼 Nokia/诺基亚 X71 全网通正品4G智能全面屏手机官方旗舰店x71/x6/9pureview,"￥2,399.00",32人付款,小淘器数码专营店,安徽 合肥,,,
【原封正品 下单送好礼】Xiaomi/小米 小米9手机全网通智能手机,"￥2,719.00",63人付款,tb0968105_2013,上海,,,
Xiaomi/小米 小米6手机6骁龙835手机陶瓷尊享版米8全网通4G白蓝色,￥969.00,240人付款,徐光赏,江苏 常州,,,
【6.1下单立减50】honor/荣耀 畅玩8C全网通智能手机官网全新正品学生官方旗舰店性能续航学生老人拍照手机,￥899.00,2328人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6期分期免息】Apple/苹果 iPhone X 移动联通电信全网通4G 智能手机苹果X 10 iPhonex,"￥6,288.00",185人付款,苏宁易购官方旗舰店,江苏 南京,,,
12期免息/咨询优惠/Huawei/华为 Mate 20 RS 保时捷设计Mate 20华为Mate20rs手机官方旗舰店mate20正品p30pro,"￥12,999.00",13人付款,三际数码官方旗舰店,山东 济南,,,
仅2838起/3期免息送无线充/Samsung/三星 SM-W2016 电信4G 复古翻盖 三星w2016 官方旗舰店正品手机大气 成功,"￥2,838.00",33人付款,三际数码官方旗舰店,山东 济南,,,
256G低至28?9元起选游戏手柄中移动 Xiaomi/小米 黑鲨游戏手机2竞技版256G 黑鲨helo,"￥2,829.00",22人付款,中国移动官方旗舰店,浙江 杭州,,,
【到手机769+领券最高减100】华为honor/荣耀 荣耀畅玩8A手机中移动官方旗舰店新品 11X 9i 8X华为手机1120i,￥799.00,193人付款,中国移动官方旗舰店,浙江 杭州,,,
【下单送碎屏险 顺丰包邮】Huawei/华为 mate 10 pro 手机全面屏徕卡双镜头 双卡双待官方旗舰店正品/mate20,"￥2,699.00",15人付款,爱谷歌数码专营店,广东 深圳,,,
现货华为honor/荣耀 荣耀V10全网通电信正品v9i全面屏智能4G手机,"￥1,458.00",190人付款,tfwz0,广东 深圳,,,
纽曼 F6 移动电信版翻盖老人手机大声大字大屏男女款老年手机超长待机正品军工三防按键学生备用老年机,￥98.00,2161人付款,金辉天成数码专营店,广东 深圳,,,
【米9来米8降价】Xiaomi/小米 小米8全面屏手机 探索版骁龙845米9,"￥1,299.00",142人付款,徐光赏,江苏 常州,,,
vivo X21全面屏智能手机全网通vivox21屏幕指纹版X21手机vivoX20,"￥1,000.00",194人付款,景德镇水中花,上海,,,
官方 Xiaomi/小米 Redmi 7红米7pro小米7x新手机 全面屏note7正品,￥699.00,1085人付款,一朵花的记忆,广东 深圳,,,
【899元起 6期免息送原装配件】华为honor/荣耀 畅玩8C全网通4G智能手机全新正品新款官方xmax官网新品畅玩8c,￥899.00,62人付款,新松联手机专营店,上海,,,
送无线充Sony/索尼 Xperia XZ2 2018年 索尼XZ2 全新原装港版手机,"￥1,780.00",127人付款,终极者11,广东 深圳,,,
OPPO A7 全面屏拍照手机水滴屏AI美颜夜景渐变机身学生智能4G全网通oppoa7a57a1琥珀金 4+64GB,"￥1,499.00",93人付款,oppo官方旗舰店,广东 东莞,,,
三防电霸路虎军工全网通4G大容量电池智能安卓老人手机大喇叭防水,￥751.06,295人付款,秒杀速购8,广东 深圳,,,
【送手环/音响】OPPO A9全面屏手机oppoa9新款上市0ppo新品oppor19正品r9全新0pp0官网a9x a7 a9splus k3 a9s,"￥1,399.00",70人付款,oppo瑞福轩专卖店,江苏 南京,,,
现货速发Samsung/三星 Galaxy S10+ SM-G9750美版S10港行港版手机,"￥3,228.00",37人付款,tb38415_55,广东 深圳,,,
Apple/苹小果 i.Phone 7 Plus 6s plus国行5.5寸7p全网通6sp手机,"￥1,180.00",57人付款,宝贝超人公司,上海,,,
官方领券低至1089起/选动圈耳机等】小米6x全网通现货Xiaomi/小米 6X官网旗舰正品小米se青春版7x手机7pro,"￥1,089.00",64人付款,广东电信亿品汇专卖店,广东 深圳,,,
可减20低至1448起+送电源】Huawei/华为 nova 3i正品官方旗舰店手机免息nova4新款mate20降价官网荣耀nova3 i,"￥1,468.00",76人付款,广东电信亿品汇专卖店,广东 深圳,,,
[下单送塔扇 12期免息]vivo X27手机全新机vivox27 指纹版 x27plus x27pro x23 NEX官方旗舰店官网 X21 X20,"￥3,198.00",34人付款,恒盛纪元数码专营店,四川 成都,,,
路虎军工老人大容量电池三防智能手机超长待机全网通4G大声音防水,￥661.44,441人付款,明盛世,广东 深圳,,,
正品原封 honor/荣耀 荣耀8X MAX 全网通 7.12英寸大屏平板手机,"￥1,077.12",79人付款,诚信实拍数码,广东 深圳,,,
送好礼Huawei/华为 nova 2全网通美颜自拍手机nova系列青春 nova2s 3e 3i,"￥1,178.00",125人付款,豪置数码专营店,上海,,,
新品送1年原厂碎屏险 vivo Y3手机 vivoy3手机官方旗舰店 vivoY3 vivox21 x23 u1 z1 z3 y73 y93 y83 y3 vovi,"￥1,498.00",24人付款,茂鹏数码专营店,广东 深圳,,,
Samsung/三星 GALAXY S8 全网通 S8港版港行+曲屏手机 S8美版现货,"￥1,450.00",329人付款,专业灯光设备,上海,,,
直降400元 送800礼 vivo Z3i手机 水滴屏全面屏手机 vivoz3i Z3I vivox21 vivox23 vivo手机官方旗舰店官,"￥1,598.00",33人付款,茂鹏数码专营店,广东 深圳,,,
分期免息Apple/苹果 iPhone 8 Plus 苹果8plus 苹果8手机iphone8x,"￥2,430.00",14人付款,双喜520025,广东 深圳,,,
【12期分期现货速发 送原装豪礼】Huawei/华为 P30全面屏手机官网官方旗舰店正品p30/Mate20 nova4e 畅享9S,"￥3,988.00",39人付款,华为众泰专卖店,浙江 杭州,,,
新上市/Meizu/魅族 16S 官方旗舰店官网正品新款高通骁龙855全面屏智能手机128G高配版全功能NFC 魅族16s,"￥3,198.00",8人付款,博海宇通数码专营店,广东 深圳,,,
64G1028起送好礼 Huawei/华为 畅享8 全面屏4G全网通智能手机官方旗舰店老人手机plus 官网正品华为畅想9 8e,￥798.00,52人付款,久汇数码专营店,广东 深圳,,,
下单减1500元免息 Huawei/华为 Mate 20 RS 保时捷设计Mate 20 x手机mate20pro 官方旗舰店官网正品p30pro,"￥12,999.00",9人付款,久汇数码专营店,广东 深圳,,,
vivo X21全面屏智能手机全网通vivox21i屏幕指纹版X21手机vivoX20,"￥1,260.00",166人付款,一宅一花绿植学院,北京,,,
优惠20元送延保等礼品 华为honor/荣耀 荣耀V9全网通智能4G手机 NFC闪付 荣耀V9 10 荣耀魔术,"￥1,399.00",44人付款,旭翼数码专营店,上海,,,
抢券立减300】送壳膜套装 Apple/苹果 iPhone X全面屏 苹果智能4G手机苹果手机国行正品苹果XSMAX iPhone XR,"￥6,049.00",15人付款,卓瓦数码专营店,上海,,,
Apple/苹果 iPhone 7苹果正品原装手机4.7寸国行美版未激活全网通,"￥1,999.00",122人付款,淘淘乐讯,上海,,,
【加赠一年碎屏险】OPPO Reno新款上市 opporeno手机超薄新品限量版a9 r17 r19 r15 10倍变焦未来x 0pp0findx,"￥2,999.00",65人付款,oppo银通亿禾专卖店,浙江 宁波,,,
【3期免息 咨询客服再减100】Huawei/华为P30 全网通4G智能手机官网官方旗舰正品p30pro手机Mate20/nova4e,"￥3,988.00",12人付款,话机世界官方旗舰店,浙江 杭州,,,
【下单减100】OPPO A7 全面屏拍照手机水滴屏AI美颜夜景渐变机身学生智能4G全网通oppoa7a57a1湖光绿 4+64GB,"￥1,499.00",79人付款,oppo官方旗舰店,广东 东莞,,,
现货Xiaomi/小米 小米9SE小米9se全面屏尊享布朗熊限量版新手机,"￥1,758.00",81人付款,鸿威通讯,上海,,,
咨询优惠20元/送补光灯 Meitu/美图 T8s 美图m8s手机美颜自拍t9手机官方旗舰店正品美图t8 V7 v6 m6s,"￥1,188.00",67人付款,博盛景数码专营店,广东 深圳,,,
Samsung/三星 Galaxy S10+ SM-G9750 三星S10 港版手机 S10E 现货,"￥3,998.00",117人付款,正品港行数码,广东 深圳,,,
【直降120 限时冲量】Meitu/美图 T8美图t8s手机官方旗舰店正品T8s全网通4G美颜美拍手机美图t9 v6 V7 m8s,"￥1,148.00",55人付款,美图万能小主专卖店,湖北 武汉,,,
vivo X20全面屏手机X9s/x20plus/X21全新正品4+64g全网通VIVOX20A,￥920.00,286人付款,麦子和哈雷,广东 深圳,,,
YEPEN/誉品 N2卡片手机超薄非智能迷你超小袖珍学生男女备用移动电信个性网红小手机同款儿童戒网瘾正品直板,￥130.00,2055人付款,酷泽数码专营店,广东 深圳,,,
原装正品Neken/尼凯恩 EN8老人机超长待机直板女款大屏大字大声移动电信版老年手机儿童学生功能按键备用机,￥49.00,9000+人付款,淘杰翔数码专营店,广东 深圳,,,
降1600/Huawei/华为 Mate 20 Pro全面屏mate20x降价官方4G手机P30,"￥2,798.00",113人付款,深港通信专卖,广东 深圳,,,
【当天发领券减】Xiaomi/小米 Redmi 7红米7骁龙632八核双摄智能拍照水滴屏手机官方旗舰店正品,￥749.00,91人付款,君问数码官方旗舰店,浙江 杭州,,,
Gionee/金立 W909全网通4G 双屏男女款翻盖商务智能手机,"￥3,199.00",20人付款,亿博鸿信数码专营店,北京,,,
honor/荣耀 V9 全网通4G正品原封双卡4G智能手机现货速发送充电宝,"￥1,079.17",178人付款,国际正品手机店,广东 深圳,,,
HUAWEI Nova 4麒麟970四摄新款手机限量版全面屏易烊千玺降价正品,"￥1,999.00",87人付款,众合数码高手,广西 南宁,,,
［全新款12期免息0首付]vivo x27新品8+128g限量版手机vivox27分期付款256g0首付官网viovx23vovix21X30nex,"￥3,198.00",32人付款,悦高数码专营店,江苏 苏州,,,
【 6.1-6.2号32G限时直降200】HUAWEI /华为 畅享9 珍珠屏长续航千元华为官方旗舰智能店铺正品学生手机,￥799.00,1991人付款,苏宁易购官方旗舰店,江苏 南京,,,
【3期免息】Nokia/诺基亚 X71 全面屏 蔡司认证 大广角三摄手机 4G全网通旗舰店官方正品 诺基亚x71 诺基亚x7,"￥1,999.00",332人付款,苏宁易购官方旗舰店,江苏 南京,,,
降70元+送电源/华为honor/荣耀 荣耀9i全面屏全网通手机官方旗舰店新品降价10青春8x正品11x学生20i官网v9,"￥1,129.00",347人付款,三际数码官方旗舰店,山东 济南,,,
魅族note9新品[现货发+选电源/EP21耳机/手环18礼]Meizu/魅族 Note9 全面屏手机x8/16xs plus魅蓝note9 8,"￥1,348.00",230人付款,三际数码官方旗舰店,山东 济南,,,
【原装配件+到手价3299起】华为honor/荣耀 荣耀magic 2中移动官方旗舰店 majic2 华为手机 9i 11X v20,"￥3,299.00",11人付款,中国移动官方旗舰店,浙江 杭州,,,
64G到手价10?9元起3期免息【送壳膜】中移动Xiaomi/小米 红米Note5手机6pro6xplus redmi7,"￥1,069.00",61人付款,中国移动官方旗舰店,浙江 杭州,,,
低至1598起+送电源耳机 Huawei/华为 nova 3 手机官方旗舰店正品全网通全面屏nova3i官网荣耀mate20降价新款4,"￥1,588.00",38人付款,广东电信亿品汇专卖店,广东 深圳,,,
降价900【现货速发】官网正品Huawei/华为 Mate 20 PRO X智能手机,"￥2,769.00",64人付款,春江哥,四川 成都,,,
直降200元 Huawei/华为 畅享9 官网官方旗舰店正品全网通智能畅享9Plus全面屏畅想9/8荣耀8x手机10/max 20i,￥618.00,139人付款,卓瓦数码专营店,上海,,,
Xiaomi/小米小米9 骁龙855全面屏索尼4800万三摄指纹拍照游戏手机,"￥3,069.00",36人付款,绿森数码官方旗舰店,浙江 杭州,,,
Apple/苹果 iPhone XS 苹果xs iPhoneXS Max国行双卡手机,"￥6,758.00",43人付款,最低最诚信,广东 深圳,,,
Changhong/长虹 Ga568老人手机老年老人机超长待机大字大声待机王,￥388.00,420人付款,燕燕宝贝bobo,广东 深圳,,,
12期分期/送壳膜/Apple/苹果 iPhone 7 Plus 全网通4G手机苹果7p iphone7plus iphone7p 全网通苹果手机正品,"￥4,138.00",22人付款,环球机库官方旗舰店,江苏 扬州,,,
省1000/当天发6期免息/送30重礼Huawei/华为 Mate 20 X 华为mate20x手机降价官方旗舰店nova4e正品p30pro新款,"￥4,499.00",8人付款,恒波官方旗舰店,广东 深圳,,,
BlackBerry/黑莓 KEYONE全新dtek70全键盘国行三网4G电信双卡key1安卓曲面指纹键盘学生戒网全新正品黑梅手机,"￥1,969.00",39人付款,黑莓急吼吼专卖店,广东 深圳,,,
现货Huawei/华为 Mate 9 Pro 全网通6G+128G曲面屏手机 mate9手机,"￥1,090.00",196人付款,星辰数码科技,广东 深圳,,,
vivo X23水滴屏手机新款限量版x23手机X21全新手机花呗分期X23,"￥1,720.00",58人付款,粒粒皆辛苦粗粮,上海,,,
正品R17超薄6.3学生价游戏安卓智能移动联通电信全网通4G双卡手机,￥498.00,1118人付款,海亿实业,广东 深圳,,,
【四千毫安大电池】华为honor/荣耀 畅玩8C全网通移动联通电信4G 官方正品智能老人老年手机高通骁龙超长待机,￥888.00,47人付款,晋商数码专营店,北京,,,
OPPO R17水滴屏手机oppor17新年红r15全网通OPPO R15x屏幕指纹,"￥1,750.00",164人付款,缘落花开0102,北京,,,
BlackBerry/黑莓 KEY2全键盘双卡手机keyone2代二keytwo正品三网,"￥3,216.51",82人付款,keching1124,广东 深圳,,,
正品coolpad/酷派酷玩7c学生价指纹一体智能手机全网通全面屏超薄游戏8官方旗舰店7官网老人老年5网络新手机g,￥499.00,106人付款,浩瑜数码专营店,广东 深圳,,,
【抢券至高省150】vivo Z1青春版黑金色4+32GB全面屏智能双摄全网通4G全新正品手机vivoz1 z1i z,￥949.00,42人付款,vivo官方旗舰店,广东 东莞,,,
【3期免息】华为honor/荣耀 畅玩8C 全网通智能手机正品学生价官方旗舰店官网畅玩7c华为8x荣耀8c降价paly,￥899.00,75人付款,博海宇通数码专营店,北京,,,
咨询减钱/当天发/12期分期Huawei/华为 Mate20手机官方旗舰店正品华为P20pro华为mate20降价10优惠华为p30pro,"￥3,499.00",30人付款,能良数码官方旗舰店,上海,,,
12期免息 vivo X27Pro手机全新机官方正品vivox27pro plus x21 x23 x9 x9s vivo×30手机x23幻彩版官方旗舰店,"￥3,998.00",11人付款,vivo曼尼金专卖店,江苏 南京,,,
直降990现货Huawei/华为 Mate 20全面屏智能手机降价mate20x pro,"￥2,488.00",43人付款,鸿威通讯,上海,,,
【下单减200/当天发/送好礼】vivo Z3X 全新机vivoz3x z3官方正品手机 vivo y93 Y85 Y81S vivo y97 Z1 s1 Y3,￥998.00,143人付款,恒盛纪元数码专营店,湖北 武汉,,,
Apple/苹果 iPhone XS Max 双卡手机 iPhone Xs 64 256G国行现货,"￥6,690.00",116人付款,静房王树楷,上海,,,
vivo Y93s全新正品手机 vivoy93s全面屏手机 vivoy93标准版 vivoy97 y85 y81 y83 y71 y73 z3 z1 限量版 bbk,"￥1,298.00",49人付款,首佳誉数码专营店,广东 东莞,,,
现货发【分期免息/选碎屏保充电宝】 360 N7Pro全面屏手机n7官方旗舰店官网正品n6pro新款360n7特别版,￥999.00,156人付款,博盛景数码专营店,广东 深圳,,,
新品【当天发+12期分期0首付】Huawei/华为 P30 Pro官网官方旗舰店手机正品p30降价mate20x/nova4e/p20新款,"￥5,788.00",11人付款,蓝港数码专营店,广东 深圳,,,
小米有品官方多亲AI手机qin1s+功能电话移动联通4G网络老人机全网通按键智能备用小爱同学小学生价直板老年机,￥279.00,477人付款,淘贤居数码专营店,广东 深圳,,,
Apple/苹果 iPhone 7 Plus 5.5英寸全网通4G版智能手机 苹果7p iPhone7p全新国行正品全国联保官方授权旗舰店,"￥4,198.00",14人付款,卓辰数码旗舰店,浙江 杭州,,,
【可减150】当天发/6期免息/送手环/音响 honor/荣耀 畅玩8C手机4G正品官方旗舰店官网新款8c x 9i青春10,￥899.00,90人付款,博盛景数码专营店,广东 深圳,,,
顺丰包邮 中兴天机 AXON 10 Pro八曲面水滴全面屏4800万广角AI三摄骁龙855旗舰店A2020 Pro全网通4G+智能手机,"￥3,499.00",22人付款,天杰数码专营店,四川 成都,,,
现货Samsung/三星 Galaxy S10+ SM-G9750 S10 S10e港行港版手机,"￥4,018.00",153人付款,光头先僧,广东 深圳,,,
当天发6期免息/送800元23重壕礼/HUAWEI/华为 Nova 4e手机全网通官方旗舰店官网新款正品nova4e/3i/2s,"￥1,799.00",21人付款,君问数码官方旗舰店,浙江 杭州,,,
正品三防老年智能手机全网通4G超长待机大字大声老人机OUBOO Q98+,￥299.00,1233人付款,添财数码广场,广东 深圳,,,
抽平衡车官方正品Xiaomi/小米 红米6a智能老人学生青春拍照手机redmi7官方旗舰店正品老人双卡双待4G全网通,￥518.00,525人付款,玩风数码专营店,山东 济南,,,
Samsung/三星 Galaxy S10 SM-G9730 s10+ 全新港行港版手机现货,"￥3,000.00",98人付款,老hanson,广东 深圳,,,
【6期免息】Samsung/三星Galaxy S10 SM-G9730 骁龙855 四摄像头官方正品IP68防水4G新品游戏全面屏智能手机,"￥5,999.00",11人付款,时器数码专营店,广东 广州,,,
12期免息 正品全新国行Nokia/诺基亚9 PureView 全网通5摄智能手机官方旗舰店诺基亚9 nokia9 x6/9/x71洛基亚,"￥5,499.00",2人付款,中国移动手机官方旗舰店,北京,,,
Samsung/三星 GALAXY Note9 SM-N9600手机美版港版港行正品联保,"￥3,138.00",98人付款,tb1366145_2011,广东 深圳,,,
一加7pro手机【当天发】官网OnePlus/一加 GM1910旗舰1+7T骁龙855,"￥2,999.00",56人付款,春江哥,四川 成都,,,
【限时立减！送移动电源等好礼】Huawei/华为畅享9e 移动4G+手机 官方旗舰店 畅享 9S 9plus 9e,￥999.00,15人付款,中国移动手机官方旗舰店,广东 广州,,,
Apple/苹果 iPhone XR 苹果xr 双卡新款手机 现货国行 iPhonexr,"￥4,188.00",183人付款,深圳_恒波,广东 深圳,,,
华为honor/荣耀 荣耀V20全视屏8G+128G/256G官方正品4800万手机红,"￥2,399.00",41人付款,yeabay,广东 深圳,,,
咨询至高减100【128G直降200/3期免息送豪礼】Huawei/华为 畅享9 PLUS手机MAX官方旗舰店正品MATE20官网降价,"￥1,399.00",38人付款,华为莫问专卖店,浙江 杭州,,,
vivo X9S前置2000万美颜双摄VIVO X9全网通4G智能手机vivox9splus,￥910.00,432人付款,景德镇水中花,上海,,,
Huawei/华为 Mate 20全新正品手机MATE20PRO mate20X麒麟980手机,"￥2,788.00",99人付款,才发现永远太近,辽宁 大连,,,
【新款上市】OPPO A9 oppo新品 a5 a83 a77 oppor15手机全新机r11s a1 a3 a73 r15x a7x oppo限量版超薄 oppo,"￥1,399.00",94人付款,时器数码专营店,广东 广州,,,
【小米6现货速发赠100元米粉卡】Xiaomi/小米 小米手机6 全网通骁龙835小米官方旗舰正品小米NFC手机128G现货,"￥1,569.00",24人付款,剑涉数码专营店,上海,,,
【抢券低至2348起】Meizu/魅族 魅族16th Plus 全面屏全网通智能手机,"￥2,698.00",111人付款,苏宁易购官方旗舰店,江苏 南京,,,
【抢券下单低至1998起】Meizu/魅族 魅族16th 全面屏 屏下指纹双摄拍照手机,"￥2,298.00",99人付款,苏宁易购官方旗舰店,江苏 南京,,,
【现货速发】一加手机6T OnePlus/一加 A6010 一加6t手机 6t 一加6 一加7 一加7pro 一加5t 1+6t官方旗舰店,"￥4,999.00",79人付款,三际数码官方旗舰店,山东 济南,,,
6期免息+直降700/华为honor/荣耀 荣耀magic 2手机官方旗舰店v10魔术2majic2魔法2滑盖v20麒麟980新magic3,"￥3,299.00",24人付款,三际数码官方旗舰店,山东 济南,,,
